가로등번호,위도,경도
6248010,35.833686,128.6781308
6248010,35.83369023,128.6780703
6248010,35.83369509,128.6780041
6248010,35.83369939,128.6779322
6248010,35.83370205,128.6778705
6248010,35.83370644,128.6778059
6248010,35.83371077,128.6777378
6248010,35.83371496,128.6776713
6248010,35.83371919,128.6776109
6248010,35.83372405,128.6775446
6248010,35.83372835,128.6774727
6248010,35.83372996,128.6774041
6248010,35.83373471,128.6773447
6248010,35.83373905,128.6772767
6248010,35.83374323,128.677204
6248010,35.83374745,128.6771436
6248010,35.83375231,128.6770773
6248010,35.83375662,128.6770054
6248010,35.83354317,128.677856
6248010,35.83354756,128.6777914
6248010,35.83355189,128.6777233
6248010,35.83355608,128.6776568
6248010,35.83356031,128.6775963
6248010,35.83356516,128.6775301
6248010,35.83356947,128.6774582
6248010,35.83357145,128.6773948
6248010,35.83357583,128.6773302
6248010,35.83358017,128.6772621
6248010,35.83358434,128.6771895
6248010,35.83358857,128.6771291
6248010,35.83359342,128.6770628
6248010,35.83359773,128.6769909
6248010,35.8336237,128.6769908
6248010,35.8336194,128.6770627
6248010,35.83361454,128.6771289
6248010,35.83361031,128.6771894
6248010,35.83360614,128.677262
6248010,35.8336018,128.6773301
6248010,35.83359742,128.6773947
6248010,35.83359544,128.6774581
6248010,35.83359113,128.67753
6248010,35.83358628,128.6775962
6248010,35.83358205,128.6776567
6248010,35.83357786,128.6777232
6248010,35.83357353,128.6777913
6248010,35.83356914,128.6778559
6248010,35.83356648,128.6779176
6248010,35.83354051,128.6779177
6248010,35.83355731,128.6780557
6248010,35.83356217,128.6779894
6248010,35.8335362,128.6779896
6248010,35.83353134,128.6780558
6248010,35.83352712,128.6781163
6248010,35.83352438,128.6781881
6248010,35.83352005,128.6782562
6248010,35.83351566,128.6783208
6248010,35.83350869,128.6783842
6248010,35.83350438,128.6784561
6248010,35.83349952,128.6785224
6248010,35.8334953,128.6785828
6248010,35.83352127,128.6785827
6248010,35.83352549,128.6785223
6248010,35.83353035,128.678456
6248010,35.83353466,128.6783841
6248010,35.83354163,128.6783207
6248010,35.83354602,128.678256
6248010,35.83355035,128.678188
6248010,35.83355309,128.6781162
6248010,35.83350126,128.6789163
6248010,35.83350557,128.6788445
6248010,35.83351123,128.6787801
6248010,35.83351562,128.6787155
6248010,35.83351995,128.6786475
6248010,35.83349398,128.6786476
6248010,35.83348965,128.6787156
6056003,35.84378908,128.6387456
6056002,35.84444586,128.6387192
6057001,35.84051161,128.6390672
6163037,35.84060165,128.6387601
6259014,35.8411901,128.6392384
6259019,35.84235598,128.6391127
6259018,35.84213978,128.6391201
6357010,35.83860795,128.6402146
6057005,35.83821594,128.6401104
6357011,35.83924785,128.6399379
6057004,35.83880536,128.6398344
6357012,35.83981814,128.639693
6057003,35.8394243,128.6396006
6259020,35.84042708,128.6394768
6057002,35.84003574,128.6393383
6265009,35.82352212,128.6458942
6265010,35.82411686,128.6456363
6194004,35.82367081,128.6455678
6265011,35.82471014,128.6453774
6194003,35.82426233,128.6453107
6265004,35.8205604,128.647201
6265005,35.82114562,128.6469307
6194009,35.82067657,128.6468735
6265006,35.821741,128.6466701
6194008,35.82127311,128.6466138
6145024,35.82069779,128.6466049
6140030,35.82084439,128.646434
6145025,35.82127433,128.646401
6140033,35.82164694,128.6462695
6140029,35.82135443,128.6462566
6140021,35.82152187,128.6460694
8073006,35.86569161,128.4591414
8330012,35.86428565,128.4596951
8073003,35.86448497,128.4598274
8073005,35.86526682,128.4592984
8330010,35.864921,128.4593657
8330011,35.86469009,128.4595628
8073004,35.86489237,128.4595997
8328022,35.86414408,128.4588711
8330002,35.86407769,128.4592102
8330003,35.86438336,128.4589651
8328021,35.86437966,128.4586391
8063001,35.86255529,128.4635203
8063002,35.86226911,128.4634882
8328023,35.86381786,128.4591546
8094010,35.86243185,128.4587521
8094011,35.86238103,128.4592144
8094009,35.86235453,128.4581958
8093002,35.86200321,128.4547474
8093001,35.86148319,128.4550743
8094003,35.86091093,128.4546332
8094002,35.86066664,128.4542381
8094015,35.86159884,128.4611327
8094014,35.8619062,128.4607232
6129008,35.82457648,128.6334645
8092002,35.8624597,128.4612027
8092003,35.86219804,128.4617181
8063003,35.86191036,128.4634244
8063004,35.86156518,128.463331
8094016,35.86126841,128.4615007
8092004,35.86174974,128.4618066
8063005,35.86123435,128.4631662
8063006,35.8609023,128.462982
8094017,35.8609192,128.4617993
8063007,35.86059507,128.4627955
8330013,35.86383508,128.4596989
8073002,35.86403481,128.4598635
8330001,35.86361715,128.4594199
8073001,35.86360208,128.459878
8144022,35.73439892,128.6629707
8144021,35.73461466,128.6627455
8144020,35.73485414,128.662504
8144018,35.73529511,128.6620949
8144019,35.73508801,128.6622834
8143022,35.74124951,128.6560988
8143021,35.7414409,128.6559154
8142016,35.75023239,128.6505835
8142015,35.75047095,128.650485
8142014,35.75071861,128.6503939
8142013,35.75097633,128.6503167
8142012,35.75125827,128.6502079
8142002,35.75410203,128.6495903
8142009,35.7520938,128.6498418
8142003,35.75381598,128.6495723
8141019,35.75796122,128.6508369
8141009,35.76066512,128.6512352
8141008,35.76091701,128.6511983
8141017,35.75848237,128.6509972
8141018,35.75822418,128.6509231
8141007,35.7611651,128.6511787
8141006,35.76154718,128.6511468
8142011,35.75152173,128.650099
8142010,35.75180552,128.6499803
8142008,35.75242048,128.6497707
8142004,35.7535333,128.6495929
8142006,35.75296431,128.6496563
8142005,35.75324723,128.6496218
8142007,35.75268763,128.6497049
8144033,35.73264444,128.6659099
8144032,35.73275706,128.6655731
8144031,35.7328772,128.6652547
8144013,35.73643218,128.6609766
8144012,35.73663343,128.6607748
8144011,35.7368386,128.6605672
8144010,35.73704594,128.6603582
8144009,35.73725097,128.6601506
8144008,35.73745767,128.6599424
8144007,35.73767734,128.6597208
8143016,35.74252519,128.6548188
8143014,35.74292162,128.6544319
8143015,35.74272203,128.6546242
8143013,35.74313404,128.6542405
8142025,35.74795508,128.6515581
8142024,35.74820286,128.6514408
8142026,35.74773093,128.6516717
8140023,35.76535255,128.6498646
8140022,35.765608,128.6497539
8144030,35.73300342,128.664971
8144029,35.73314159,128.6646562
8144028,35.73328056,128.6644088
8144027,35.73344038,128.6641518
8144026,35.73361457,128.6639074
8144025,35.73378426,128.6636739
8144024,35.73394349,128.6634423
8144023,35.73418332,128.663202
6235012,35.83254302,128.6883169
6235013,35.83249282,128.6888693
6235014,35.8324541,128.6892627
6235011,35.83257438,128.6880041
6238033,35.8327254,128.6887554
6235016,35.8323898,128.6900662
6235015,35.83242166,128.6896633
6238009,35.8328313,128.6897374
6238008,35.83278058,128.6901623
6238032,35.83265084,128.6895409
6238031,35.83261493,128.6899073
6171013,35.84175143,128.6864198
6050001,35.8414662,128.686717
6050002,35.84157398,128.6870558
6171010,35.84208279,128.6874875
6171011,35.84197745,128.6871415
6171012,35.84187147,128.6868055
6171014,35.84167271,128.6860793
6171015,35.84161956,128.6856944
6171016,35.84159138,128.6852848
6050004,35.84174826,128.6876231
6050003,35.84165445,128.6873175
6242023,35.84134043,128.6863199
6242024,35.84121019,128.685964
6242025,35.84097414,128.685605
8175010,35.63333799,128.4262009
8175009,35.63333754,128.4259027
8175011,35.63333934,128.4264839
8175013,35.63334171,128.4270154
8175014,35.63334465,128.4272825
8175016,35.63314884,128.4275641
8175015,35.63339923,128.4275619
8167001,35.63731222,128.4181948
8167002,35.63731328,128.4184728
8170017,35.6360143,128.4200577
8170018,35.63601497,128.4202816
8170019,35.63601552,128.4205135
8167005,35.63731525,128.4192287
8167003,35.63731473,128.4187284
8167004,35.63731557,128.4189536
8167006,35.63731677,128.4195452
8167016,35.63728577,128.4199009
8167017,35.63732126,128.4201155
8167018,35.6373209,128.420403
8167019,35.63732446,128.4206999
8170027,35.63602596,128.4226652
8170020,35.6360175,128.4207505
8170021,35.63601891,128.4210139
8170022,35.63602022,128.421334
8170025,35.63602446,128.4221355
8170023,35.63602093,128.4215989
8170024,35.63602212,128.4218568
8170026,35.63602556,128.4224054
8167021,35.63732492,128.4212398
8167020,35.63732355,128.4209544
8167022,35.6373263,128.4215261
8167023,35.6373287,128.4218406
8167024,35.63732998,128.4221153
8167025,35.63733401,128.4224098
8167026,35.63733286,128.4226294
8170031,35.63603099,128.4237185
8170029,35.63602953,128.423196
8170028,35.63602812,128.4229204
8170030,35.6360303,128.4234523
8170033,35.63603446,128.4242352
8170032,35.63603196,128.4239701
8170034,35.63603542,128.4245049
8167027,35.63733462,128.4228096
8167028,35.63733503,128.4229657
8167029,35.63733684,128.4232562
8167030,35.63733785,128.4235877
8167031,35.63733709,128.4237783
8167032,35.63733833,128.4240366
8167033,35.63733956,128.4242948
